table_name,candidate_key,business_meaning,row_count,null_key_rows,distinct_key_count,duplicate_key_rows,confidence,sql,duration_seconds
car_int,CAR_INT,Codigo do carater de internacao,6,0,6,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CAR_INT"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""CAR_INT"") AS distinct_key_count FROM ""car_int""",0.001
cbor,CBOR,Codigo CBO-R,2812,0,2812,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CBOR"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""CBOR"") AS distinct_key_count FROM ""cbor""",0.002
cid,CID,Codigo CID,14253,0,14253,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CID"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""CID"") AS distinct_key_count FROM ""cid""",0.002
complexidade,COMPLEX,Codigo de complexidade,3,0,3,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""COMPLEX"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""COMPLEX"") AS distinct_key_count FROM ""complexidade""",0.001
contraceptivos,CONTRACEPTIVO,Codigo de metodo contraceptivo,12,0,12,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CONTRACEPTIVO"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""CONTRACEPTIVO"") AS distinct_key_count FROM ""contraceptivos""",0.001
especialidade,ESPEC,Codigo de especialidade,70,0,70,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""ESPEC"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""ESPEC"") AS distinct_key_count FROM ""especialidade""",0.001
etnia,ETNIA,Codigo de etnia,264,0,264,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""ETNIA"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""ETNIA"") AS distinct_key_count FROM ""etnia""",0.001
hospital,CNES,Codigo nacional de estabelecimento de saude,6873,0,6873,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CNES"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""CNES"") AS distinct_key_count FROM ""hospital""",0.001
instrucao,INSTRU,Codigo de instrucao,4,0,4,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""INSTRU"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""INSTRU"") AS distinct_key_count FROM ""instrucao""",0.001
internacao_procedimento,id_atendimento,Identificador tecnico da linha de procedimento,187957888,0,187957888,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""id_atendimento"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""id_atendimento"") AS distinct_key_count FROM ""internacao_procedimento""",3.251
internacoes,N_AIH,Identificador AIH/internacao,183877219,0,183877219,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""N_AIH"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""N_AIH"") AS distinct_key_count FROM ""internacoes""",2.808
marca_uti,MARCA_UTI,Codigo do marcador de UTI,17,0,17,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""MARCA_UTI"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""MARCA_UTI"") AS distinct_key_count FROM ""marca_uti""",0.001
municipios,CO_MUNICIPIO_6D,Codigo municipal de 6 digitos,5589,0,5589,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CO_MUNICIPIO_6D"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""CO_MUNICIPIO_6D"") AS distinct_key_count FROM ""municipios""",0.001
nacionalidade,NACIONAL,Codigo de nacionalidade,332,0,332,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""NACIONAL"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""NACIONAL"") AS distinct_key_count FROM ""nacionalidade""",0.001
procedimentos,PROC_REA,Codigo de procedimento realizado,5394,0,5394,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""PROC_REA"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""PROC_REA"") AS distinct_key_count FROM ""procedimentos""",0.001
raca_cor,RACA_COR,Codigo de raca/cor,5,0,5,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""RACA_COR"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""RACA_COR"") AS distinct_key_count FROM ""raca_cor""",0.001
sexo,SEXO,Codigo de sexo,3,0,3,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""SEXO"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""SEXO"") AS distinct_key_count FROM ""sexo""",0.001
socioeconomico,"CO_MUNICIPIO_6D, NU_ANO",Indicador municipal anual,72395,0,72395,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CO_MUNICIPIO_6D"" IS NULL OR ""NU_ANO"" IS NULL) AS null_key_rows, (SELECT COUNT(*) FROM (SELECT ""CO_MUNICIPIO_6D"", ""NU_ANO"" FROM ""socioeconomico"" WHERE NOT (""CO_MUNICIPIO_6D"" IS NULL OR ""NU_ANO"" IS NULL) GROUP BY ""CO_MUNICIPIO_6D"", ""NU_ANO"") keys) AS distinct_key_count FROM ""socioeconomico""",0.004
stg_hospital,CNES,Codigo CNES na staging,6873,0,6873,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""CNES"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""CNES"") AS distinct_key_count FROM ""stg_hospital""",0.001
stg_internacoes,N_AIH,Identificador AIH/internacao na staging,183877219,0,183877219,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""N_AIH"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""N_AIH"") AS distinct_key_count FROM ""stg_internacoes""",2.856
stg_sexo,SEXO,Codigo de sexo na staging,2,0,2,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""SEXO"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""SEXO"") AS distinct_key_count FROM ""stg_sexo""",0.002
tempo,data,Data calendario,6210,0,6210,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""data"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""data"") AS distinct_key_count FROM ""tempo""",0.001
vincprev,VINCPREV,Codigo de vinculo previdenciario,6,0,6,0,confirmed,"SELECT COUNT(*) AS row_count, COUNT(*) FILTER (WHERE ""VINCPREV"" IS NULL) AS null_key_rows, COUNT(DISTINCT ""VINCPREV"") AS distinct_key_count FROM ""vincprev""",0.001
